"variation","first_mrr"
"hpttgswhloptb",15
"hpttgswhlopta",334
"hpttgswhloptb",143.2048
"hpttgswhloptb",71.6024
"hpttgswhloptb",59
"hpttgswhloptb",35.1944
"hpttgswhlopta",18.204
"hpttgswhloptb",29
"hpttgswhloptb",15
"hpttgswhloptb",29
"hpttgswhlopta",36.408
"hpttgswhlopta",18.204
"hpttgswhloptb",118
"hpttgswhlopta",29
"hpttgswhlopta",116
"hpttgswhloptb",59
"hpttgswhlopta",105
"hpttgswhlopta",29
"hpttgswhloptb",59
"hpttgswhlopta",29
"hpttgswhlopta",15
"hpttgswhlopta",349.3
"hpttgswhloptb",18.204
"hpttgswhlopta",12.5
"hpttgswhlopta",70.3888
"hpttgswhloptb",35.1944
"hpttgswhlopta",36.408
"hpttgswhlopta",145
"hpttgswhloptb",29
"hpttgswhloptb",36.408
"hpttgswhlopta",116
"hpttgswhlopta",211.1664
"hpttgswhlopta",18.204
"hpttgswhloptb",36.408
"hpttgswhlopta",223.3024
"hpttgswhlopta",72.816
"hpttgswhloptb",71.6024
"hpttgswhlopta",262.1376
"hpttgswhlopta",12.5
"hpttgswhloptb",29
"hpttgswhlopta",29
"hpttgswhloptb",181.67592
"hpttgswhloptb",65.25
"hpttgswhloptb",117.7192
"hpttgswhlopta",214.8072
"hpttgswhloptb",18.204
"hpttgswhloptb",15
"hpttgswhlopta",30
"hpttgswhlopta",29
"hpttgswhloptb",81.0129
"hpttgswhlopta",59
"hpttgswhlopta",232
"hpttgswhlopta",29
"hpttgswhlopta",59
"hpttgswhloptb",59
"hpttgswhloptb",177
"hpttgswhlopta",35.1944
"hpttgswhloptb",118
"hpttgswhlopta",108
"hpttgswhlopta",87
"hpttgswhloptb",15
"hpttgswhloptb",15
"hpttgswhloptb",140.7776
"hpttgswhlopta",15
"hpttgswhlopta",140.7776
"hpttgswhlopta",93.3708
"hpttgswhloptb",15
"hpttgswhlopta",30.21864
"hpttgswhloptb",15
"hpttgswhlopta",15
"hpttgswhloptb",12.5
"hpttgswhloptb",15
"hpttgswhloptb",70.3888
"hpttgswhloptb",29
"hpttgswhloptb",71.6024
"hpttgswhloptb",45
"hpttgswhlopta",15
"hpttgswhlopta",15
"hpttgswhlopta",12.5
"hpttgswhloptb",15
"hpttgswhloptb",18.204
"hpttgswhloptb",15
"hpttgswhlopta",59
"hpttgswhlopta",145.632
"hpttgswhlopta",35.1944
"hpttgswhlopta",18.204
"hpttgswhloptb",15
"hpttgswhlopta",118
"hpttgswhlopta",30
"hpttgswhlopta",58
"hpttgswhloptb",232
"hpttgswhloptb",59
"hpttgswhloptb",15
"hpttgswhloptb",286.4096
"hpttgswhlopta",29
"hpttgswhloptb",79.6398
"hpttgswhlopta",30.34
"hpttgswhlopta",15
"hpttgswhloptb",15
"hpttgswhloptb",60
"hpttgswhloptb",24.9
"hpttgswhlopta",34.3275
"hpttgswhloptb",29
"hpttgswhloptb",15
"hpttgswhlopta",29
"hpttgswhloptb",132.3
"hpttgswhlopta",58
"hpttgswhloptb",15
"hpttgswhlopta",29
"hpttgswhloptb",41.193
"hpttgswhloptb",59
"hpttgswhlopta",59
"hpttgswhlopta",29
"hpttgswhloptb",36.408
"hpttgswhloptb",29
"hpttgswhloptb",87
"hpttgswhloptb",59
"hpttgswhloptb",83.7384
"hpttgswhloptb",24.9
"hpttgswhlopta",72.816
"hpttgswhlopta",29
"hpttgswhloptb",11.25
"hpttgswhloptb",236
"hpttgswhlopta",15
"hpttgswhloptb",116
"hpttgswhlopta",59
"hpttgswhloptb",12.5
"hpttgswhlopta",236
"hpttgswhloptb",236
"hpttgswhlopta",60
"hpttgswhlopta",39.8199
"hpttgswhlopta",29
"hpttgswhloptb",36.408
"hpttgswhlopta",59
"hpttgswhloptb",18.204
"hpttgswhlopta",29
"hpttgswhlopta",181.67592
"hpttgswhlopta",15
"hpttgswhlopta",36.408
"hpttgswhloptb",1003
"hpttgswhlopta",59
"hpttgswhlopta",58
"hpttgswhloptb",118
"hpttgswhloptb",30
"hpttgswhloptb",133.1907
"hpttgswhloptb",20.5965
"hpttgswhlopta",58
"hpttgswhlopta",29
"hpttgswhloptb",35.1944
"hpttgswhloptb",18.204
"hpttgswhlopta",59
"hpttgswhlopta",59
"hpttgswhlopta",15
"hpttgswhlopta",81.0129
"hpttgswhlopta",295
"hpttgswhloptb",71.6024
"hpttgswhloptb",35.1944
"hpttgswhloptb",18.204
"hpttgswhlopta",58
"hpttgswhlopta",81.0129
"hpttgswhloptb",70.3888
"hpttgswhlopta",54.612
"hpttgswhlopta",522
"hpttgswhlopta",35.1944
"hpttgswhloptb",15
"hpttgswhlopta",30
"hpttgswhlopta",58
"hpttgswhloptb",35.1944
"hpttgswhloptb",12.5
"hpttgswhloptb",15
"hpttgswhlopta",72.816
"hpttgswhlopta",429.6144
"hpttgswhlopta",501.2168
"hpttgswhloptb",118
"hpttgswhloptb",59
"hpttgswhloptb",59
"hpttgswhlopta",118
"hpttgswhlopta",15
"hpttgswhlopta",35.1944
"hpttgswhlopta",15
"hpttgswhlopta",30.21864
"hpttgswhloptb",118
"hpttgswhloptb",24.9
"hpttgswhlopta",58
"hpttgswhloptb",60.55864
"hpttgswhlopta",15
"hpttgswhloptb",36.408
"hpttgswhloptb",18.204
"hpttgswhlopta",18.204
"hpttgswhlopta",15
"hpttgswhloptb",29
"hpttgswhloptb",29
"hpttgswhloptb",12.5
"hpttgswhloptb",175.972
"hpttgswhlopta",58
"hpttgswhlopta",15
"hpttgswhloptb",18.204
"hpttgswhlopta",18.204
"hpttgswhlopta",18.204
"hpttgswhlopta",98
"hpttgswhloptb",25
"hpttgswhlopta",29
"hpttgswhloptb",15
"hpttgswhloptb",15
"hpttgswhlopta",15
"hpttgswhloptb",70.3888
"hpttgswhloptb",118
"hpttgswhloptb",216
"hpttgswhloptb",12.5
"hpttgswhloptb",236
"hpttgswhloptb",59
"hpttgswhloptb",59
"hpttgswhlopta",18.204
"hpttgswhloptb",203
"hpttgswhloptb",157
"hpttgswhloptb",20.5965
"hpttgswhloptb",15
"hpttgswhlopta",18.204
"hpttgswhloptb",35.1944
"hpttgswhlopta",29
"hpttgswhlopta",30.34
"hpttgswhlopta",60
"hpttgswhloptb",35.1944
"hpttgswhloptb",24.9
"hpttgswhlopta",149.7
"hpttgswhloptb",59
"hpttgswhloptb",58
"hpttgswhloptb",35.1944
"hpttgswhloptb",118
"hpttgswhlopta",39.8199
"hpttgswhlopta",145
"hpttgswhloptb",29
"hpttgswhloptb",15.17
"hpttgswhloptb",15
"hpttgswhloptb",35.1944
"hpttgswhlopta",15.17
"hpttgswhloptb",59
"hpttgswhlopta",15
"hpttgswhloptb",15
"hpttgswhloptb",15.17
"hpttgswhloptb",116
"hpttgswhloptb",85.81875
"hpttgswhloptb",145
"hpttgswhlopta",35.1944
"hpttgswhloptb",60
"hpttgswhlopta",35.1944
"hpttgswhloptb",56.31104
"hpttgswhloptb",36.408
"hpttgswhloptb",118
"hpttgswhlopta",36.408
"hpttgswhloptb",71.6024
"hpttgswhloptb",20.5965
"hpttgswhloptb",708
"hpttgswhloptb",18.204
"hpttgswhlopta",15
"hpttgswhlopta",214.8072
"hpttgswhloptb",29
"hpttgswhloptb",35.1944
"hpttgswhlopta",157
"hpttgswhloptb",24.9
"hpttgswhlopta",24.9
"hpttgswhlopta",59
"hpttgswhloptb",59
"hpttgswhloptb",214.8072
"hpttgswhlopta",24.9
"hpttgswhlopta",59
"hpttgswhloptb",59
"hpttgswhloptb",214.8072
"hpttgswhlopta",29
"hpttgswhloptb",59
"hpttgswhlopta",45
"hpttgswhloptb",70.3888
"hpttgswhloptb",12.5
"hpttgswhloptb",177
"hpttgswhlopta",15
"hpttgswhloptb",94.4
"hpttgswhloptb",29
"hpttgswhlopta",20.5965
"hpttgswhlopta",15
"hpttgswhloptb",35.1944
"hpttgswhlopta",29
"hpttgswhloptb",18.204
"hpttgswhlopta",35.1944
"hpttgswhloptb",29
"hpttgswhloptb",59
"hpttgswhloptb",15
"hpttgswhlopta",39.8199
"hpttgswhloptb",232
"hpttgswhlopta",70.3888
"hpttgswhloptb",87
"hpttgswhlopta",15
"hpttgswhloptb",54.612
"hpttgswhlopta",35.1944
"hpttgswhloptb",413
"hpttgswhloptb",29
"hpttgswhloptb",174
"hpttgswhloptb",68
"hpttgswhlopta",20.5965
"hpttgswhlopta",20.5965
"hpttgswhloptb",18.204
"hpttgswhloptb",145
"hpttgswhloptb",30
"hpttgswhlopta",101.9424
"hpttgswhloptb",99.6
"hpttgswhlopta",30.21864
"hpttgswhlopta",59
"hpttgswhlopta",30
"hpttgswhlopta",90
"hpttgswhlopta",18.204
"hpttgswhlopta",24.9
"hpttgswhlopta",177
"hpttgswhloptb",81.0129
"hpttgswhlopta",29
"hpttgswhlopta",15
"hpttgswhloptb",105.5832
"hpttgswhloptb",15
"hpttgswhlopta",15
"hpttgswhloptb",71.6024
"hpttgswhlopta",29
"hpttgswhloptb",20.5965
"hpttgswhlopta",29
"hpttgswhloptb",35.1944
"hpttgswhlopta",70.3888
"hpttgswhloptb",15
"hpttgswhlopta",275
"hpttgswhloptb",59
"hpttgswhloptb",49.8
"hpttgswhloptb",24.9
"hpttgswhloptb",58
"hpttgswhloptb",246.3608
"hpttgswhloptb",68
"hpttgswhloptb",29.5
"hpttgswhloptb",157
"hpttgswhlopta",15
"hpttgswhloptb",39.8199
"hpttgswhlopta",29
"hpttgswhlopta",44.25
"hpttgswhloptb",334
"hpttgswhlopta",59
"hpttgswhlopta",18.204
"hpttgswhloptb",30
"hpttgswhlopta",71.6024
"hpttgswhlopta",58
"hpttgswhlopta",140.7776
"hpttgswhloptb",35.1944
"hpttgswhloptb",30
"hpttgswhlopta",71.6024
"hpttgswhloptb",79.6398
"hpttgswhloptb",15
"hpttgswhlopta",29
"hpttgswhloptb",15
"hpttgswhlopta",59
"hpttgswhlopta",71.6024
"hpttgswhlopta",18.204
"hpttgswhloptb",18.204
"hpttgswhloptb",39.8199
"hpttgswhloptb",70.3888
"hpttgswhloptb",20.5965
"hpttgswhlopta",59
"hpttgswhlopta",15
"hpttgswhlopta",37.5
"hpttgswhloptb",15
"hpttgswhlopta",75
"hpttgswhloptb",60
"hpttgswhloptb",15
"hpttgswhlopta",143.2048
"hpttgswhlopta",45
"hpttgswhlopta",140.7776
"hpttgswhloptb",71.6024
"hpttgswhlopta",12.5
"hpttgswhlopta",211.1664
"hpttgswhlopta",29
"hpttgswhloptb",35.1944
"hpttgswhloptb",29
"hpttgswhlopta",18.204
"hpttgswhloptb",12.5
"hpttgswhloptb",36.408
"hpttgswhlopta",29
"hpttgswhlopta",18.204
"hpttgswhlopta",58
"hpttgswhloptb",87
"hpttgswhlopta",59
"hpttgswhloptb",59
"hpttgswhlopta",18.204
"hpttgswhlopta",30.34
"hpttgswhlopta",539.6283
"hpttgswhlopta",45
"hpttgswhlopta",15
"hpttgswhlopta",29
"hpttgswhlopta",429.6144
"hpttgswhlopta",15
"hpttgswhlopta",59
"hpttgswhlopta",79.6398
"hpttgswhlopta",18.204
"hpttgswhloptb",70.3888
"hpttgswhloptb",20.5965
"hpttgswhloptb",118
"hpttgswhlopta",59
"hpttgswhloptb",15
"hpttgswhloptb",15
"hpttgswhlopta",41.193
"hpttgswhloptb",87
"hpttgswhloptb",45
"hpttgswhloptb",59
